epochs, batch_size, lrate, decay, truefalse, final_accuracy
(1000, 8, 0.1, 0.0001, 1, 27.927927927927925)
(1000, 8, 0.5, 0.0005, 0, 26.126126126126124)
(1000, 8, 0.5, 0.0005, 1, 27.927927927927925)
(1000, 8, 1.0, 0.001, 0, 24.324324324324326)
(1000, 8, 1.0, 0.001, 1, 21.62162162162162)
(1000, 8, 5.0, 0.005, 0, 24.324324324324326)
(1000, 8, 5.0, 0.005, 1, 21.62162162162162)
(1000, 8, 10.0, 0.01, 0, 27.927927927927925)
(1000, 8, 10.0, 0.01, 1, 26.126126126126124)
(1000, 8, 100.0, 0.1, 0, 21.62162162162162)
(1000, 8, 100.0, 0.1, 1, 21.62162162162162)
(1000, 16, 1e-06, 9.999999999999999e-10, 0, 27.927927927927925)
(1000, 16, 1e-06, 9.999999999999999e-10, 1, 27.927927927927925)
(1000, 16, 1e-05, 1e-08, 0, 33.333333427304616)
(1000, 16, 1e-05, 1e-08, 1, 33.33333337360674)
(1000, 16, 0.0001, 1.0000000000000001e-07, 0, 19.819819900366635)
(1000, 16, 0.0001, 1.0000000000000001e-07, 1, 18.918919053163613)
(1000, 16, 0.001, 1e-06, 0, 14.414414441263354)
(1000, 16, 0.001, 1e-06, 1, 15.315315395862134)
(1000, 16, 0.01, 1e-05, 0, 27.927927927927925)
(1000, 16, 0.01, 1e-05, 1, 27.927927927927925)
(1000, 16, 0.1, 0.0001, 0, 26.126126126126124)
(1000, 16, 0.1, 0.0001, 1, 26.126126126126124)
(1000, 16, 0.5, 0.0005, 0, 21.62162162162162)
(1000, 16, 0.5, 0.0005, 1, 27.927927927927925)
(1000, 16, 1.0, 0.001, 0, 26.126126126126124)
(1000, 16, 1.0, 0.001, 1, 26.126126126126124)
(1000, 16, 5.0, 0.005, 0, 27.927927927927925)
(1000, 16, 5.0, 0.005, 1, 27.927927927927925)
(1000, 16, 10.0, 0.01, 0, 27.927927927927925)
(1000, 16, 10.0, 0.01, 1, 27.927927927927925)
(1000, 16, 100.0, 0.1, 0, 24.324324324324326)
(1000, 16, 100.0, 0.1, 1, 26.126126126126124)
(1000, 32, 1e-06, 9.999999999999999e-10, 0, 27.927927927927925)
(1000, 32, 1e-06, 9.999999999999999e-10, 1, 27.927927927927925)
(1000, 32, 1e-05, 1e-08, 0, 34.234234422176804)
(1000, 32, 1e-05, 1e-08, 1, 36.036036223978606)
(1000, 32, 0.0001, 1.0000000000000001e-07, 0, 22.522522898407672)
(1000, 32, 0.0001, 1.0000000000000001e-07, 1, 22.52252284470979)
(1000, 32, 0.001, 1e-06, 0, 15.315315395862134)
(1000, 32, 0.001, 1e-06, 1, 15.315315395862134)
(1000, 32, 0.01, 1e-05, 0, 27.927927927927925)
(1000, 32, 0.01, 1e-05, 1, 27.927927927927925)
(1000, 32, 0.1, 0.0001, 0, 27.927927927927925)
(1000, 32, 0.1, 0.0001, 1, 27.927927927927925)
(1000, 32, 0.5, 0.0005, 0, 27.927927927927925)
(1000, 32, 0.5, 0.0005, 1, 26.126126126126124)
(1000, 32, 1.0, 0.001, 0, 27.927927927927925)
(1000, 32, 1.0, 0.001, 1, 21.62162162162162)
(1000, 32, 5.0, 0.005, 0, 27.927927927927925)
(1000, 32, 5.0, 0.005, 1, 27.927927927927925)
(1000, 32, 10.0, 0.01, 0, 26.126126126126124)
(1000, 32, 10.0, 0.01, 1, 26.126126126126124)
(1000, 32, 100.0, 0.1, 0, 26.126126126126124)
(1000, 32, 100.0, 0.1, 1, 21.62162162162162)
(1000, 64, 1e-06, 9.999999999999999e-10, 0, 27.927927927927925)
(1000, 64, 1e-06, 9.999999999999999e-10, 1, 27.927927927927925)
(1000, 64, 1e-05, 1e-08, 0, 38.73873887298343)
(1000, 64, 1e-05, 1e-08, 1, 37.83783791838465)
(1000, 64, 0.0001, 1.0000000000000001e-07, 0, 27.02702724181854)Using TensorFlow backend.
(1000, 64, 0.0001, 1.0000000000000001e-07, 1, 29.729729998219124)
(1000, 64, 0.001, 1e-06, 0, 17.117117197663934)
(1000, 64, 0.001, 1e-06, 1, 16.216216243065155)
(1000, 64, 0.01, 1e-05, 0, 27.927927927927925)
(1000, 64, 0.01, 1e-05, 1, 27.927927927927925)
(1000, 64, 0.1, 0.0001, 0, 27.927927927927925)
(1000, 64, 0.1, 0.0001, 1, 26.126126126126124)
(1000, 64, 0.5, 0.0005, 0, 26.126126126126124)
(1000, 64, 0.5, 0.0005, 1, 27.927927927927925)
(1000, 64, 1.0, 0.001, 0, 26.126126126126124)
(1000, 64, 1.0, 0.001, 1, 27.927927927927925)
(1000, 64, 5.0, 0.005, 0, 27.927927927927925)
(1000, 64, 5.0, 0.005, 1, 27.927927927927925)
(1000, 64, 10.0, 0.01, 0, 27.927927927927925)
(1000, 64, 10.0, 0.01, 1, 21.62162162162162)
(1000, 64, 100.0, 0.1, 0, 26.126126126126124)
(1000, 64, 100.0, 0.1, 1, 26.126126126126124)
(1000, 128, 1e-06, 9.999999999999999e-10, 0, 27.927927927927925)
(1000, 128, 1e-06, 9.999999999999999e-10, 1, 27.927927927927925)
(1000, 128, 1e-05, 1e-08, 0, 41.44144152198826)
(1000, 128, 1e-05, 1e-08, 1, 40.540540674785234)
(1000, 128, 0.0001, 1.0000000000000001e-07, 0, 30.63063079172427)
(1000, 128, 0.0001, 1.0000000000000001e-07, 1, 27.92792819641732)
(1000, 128, 0.001, 1e-06, 0, 14.414414790299562)
(1000, 128, 0.001, 1e-06, 1, 17.117117143966055)
(1000, 128, 0.01, 1e-05, 0, 14.414414790299562)
(1000, 128, 0.01, 1e-05, 1, 22.52252260306934)
(1000, 128, 0.1, 0.0001, 0, 27.927927927927925)
(1000, 128, 0.1, 0.0001, 1, 26.126126126126124)
(1000, 128, 0.5, 0.0005, 0, 27.927927927927925)
(1000, 128, 0.5, 0.0005, 1, 26.126126126126124)
(1000, 128, 1.0, 0.001, 0, 27.927927927927925)
(1000, 128, 1.0, 0.001, 1, 27.927927927927925)
(1000, 128, 5.0, 0.005, 0, 27.927927927927925)
(1000, 128, 5.0, 0.005, 1, 26.126126126126124)
(1000, 128, 10.0, 0.01, 0, 27.927927927927925)
(1000, 128, 10.0, 0.01, 1, 26.126126126126124)
(1000, 128, 100.0, 0.1, 0, 27.927927927927925)
(1000, 128, 100.0, 0.1, 1, 27.927927927927925)
[1]+  Done                    gcloud compute --project "thematic-bee-100211" ssh --zone "europe-west4-a" "instance-1"  



BEST ACCURACY - LINE 208

epochs, batch_size, lrate, decay, truefalse, final_accuracy
(50, 128, 0.01, 0.0002, 0, 43.243243377487936)

COMMAND
cd JCK-Project/RESET
python hyper1.py



